TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
4086486 5.80	35.00	86.31	1.38	0.02	0.00	-0.00	0.06	0.02	-0.01	-44.50	21.25	1.06	9.84	-0.21	0.56	9.78	-0.23	0.58	
4086564 5.76	35.00	86.31	1.38	-0.01	0.00	0.00	0.03	-0.01	-0.02	-44.88	20.56	1.06	9.82	-0.28	0.56	9.78	-0.23	0.58	
4086643 5.74	35.00	86.31	1.38	-0.01	0.00	0.00	0.02	-0.05	0.00	-44.06	21.00	0.69	9.85	-0.26	0.56	9.78	-0.23	0.58	
4086723 5.82	35.00	86.31	1.38	0.01	0.00	-0.00	0.05	-0.04	0.00	-44.06	20.19	1.88	9.82	-0.23	0.61	9.78	-0.23	0.58	
4086803 5.86	35.00	86.31	1.38	0.00	0.00	-0.00	0.07	0.03	0.02	-44.06	19.75	1.88	9.82	-0.23	0.56	9.78	-0.23	0.58	
4086883 5.81	34.94	86.31	1.31	-0.00	0.00	0.00	0.04	0.01	0.00	-44.50	21.25	2.38	9.82	-0.21	0.58	9.78	-0.23	0.58	
4086960 5.74	34.94	86.31	1.31	0.01	0.00	-0.00	0.05	-0.01	-0.02	-44.88	21.69	1.50	9.83	-0.25	0.55	9.78	-0.23	0.58	
4087038 5.69	34.94	86.31	1.31	0.00	0.00	-0.00	0.05	-0.02	0.00	-44.88	20.56	1.06	9.84	-0.25	0.57	9.78	-0.23	0.58	
4087115 5.72	34.94	86.31	1.31	0.01	0.00	0.00	0.04	0.04	-0.01	-44.06	20.19	1.50	9.82	-0.17	0.58	9.78	-0.23	0.58	
4087194 5.80	34.94	86.31	1.31	0.01	0.00	0.00	0.06	0.00	-0.01	-44.50	21.00	0.69	9.82	-0.22	0.57	9.78	-0.23	0.58	
4087274 5.82	34.94	86.31	1.31	-0.01	0.00	0.00	0.03	-0.05	0.00	-44.88	20.56	1.06	9.83	-0.28	0.58	9.78	-0.23	0.58	
4087354 5.81	34.94	86.31	1.31	-0.00	-0.00	0.00	0.04	-0.01	0.00	-44.50	20.56	1.88	9.80	-0.23	0.56	9.78	-0.23	0.58	
4087434 5.84	34.94	86.31	1.31	0.01	0.00	-0.00	0.05	-0.05	-0.04	-45.19	20.56	1.50	9.84	-0.28	0.53	9.78	-0.23	0.58	
4087512 5.78	34.94	86.31	1.31	-0.00	0.00	0.00	0.03	-0.01	0.00	-44.50	21.00	0.25	9.82	-0.24	0.57	9.78	-0.23	0.58	
4087590 5.75	34.94	86.31	1.31	0.00	-0.00	-0.00	0.05	0.05	0.03	-44.06	21.69	-0.06	9.83	-0.17	0.61	9.78	-0.23	0.58	
4087668 5.67	34.94	86.31	1.31	0.01	-0.00	-0.00	0.05	0.01	0.00	-44.88	20.19	1.06	9.84	-0.21	0.57	9.78	-0.23	0.58	
4087746 5.73	34.94	86.31	1.31	-0.01	-0.00	0.00	0.03	0.01	0.02	-44.88	21.00	1.88	9.83	-0.24	0.58	9.78	-0.23	0.58	
4087826 5.76	34.94	86.31	1.31	0.01	-0.00	0.00	0.05	0.00	-0.02	-44.50	20.56	1.50	9.83	-0.20	0.57	9.78	-0.23	0.58	
4087906 5.72	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.00	0.00	-45.25	21.00	1.50	9.83	-0.22	0.55	9.78	-0.23	0.58	
4087985 5.73	34.94	86.31	1.31	0.00	0.00	0.00	0.05	-0.01	-0.01	-44.06	21.00	0.69	9.84	-0.24	0.56	9.78	-0.23	0.58	
4088064 5.69	34.94	86.31	1.31	0.00	0.00	-0.00	0.02	0.03	-0.01	-44.06	20.56	1.50	9.81	-0.19	0.56	9.78	-0.23	0.58	
4088143 5.72	34.94	86.31	1.31	0.01	0.00	-0.00	0.03	0.01	0.00	-44.88	20.56	1.50	9.82	-0.22	0.58	9.78	-0.23	0.58	
4088221 5.69	34.94	86.31	1.31	-0.00	-0.00	0.00	0.05	0.00	-0.02	-44.88	20.19	1.50	9.83	-0.24	0.55	9.78	-0.23	0.58	
4088299 5.64	34.94	86.31	1.31	0.01	0.00	-0.00	0.05	0.03	0.00	-45.19	21.00	1.88	9.83	-0.19	0.58	9.78	-0.23	0.58	
4088378 5.62	34.94	86.31	1.31	-0.00	0.00	0.00	0.02	0.00	0.00	-44.06	21.00	2.38	9.83	-0.26	0.58	9.78	-0.23	0.58	
4088457 5.62	34.94	86.31	1.31	-0.01	0.00	0.00	0.03	-0.01	0.00	-44.50	20.19	1.06	9.82	-0.24	0.55	9.78	-0.23	0.58	
4088537 5.63	34.94	86.31	1.31	0.01	0.00	0.00	0.06	-0.02	0.01	-44.50	20.56	1.50	9.85	-0.25	0.59	9.78	-0.23	0.58	
4088615 5.65	34.94	86.31	1.31	-0.00	-0.00	0.00	0.03	0.00	-0.01	-43.75	20.56	1.88	9.82	-0.23	0.56	9.78	-0.23	0.58	
4088694 5.63	34.94	86.31	1.31	-0.00	0.00	-0.00	0.06	-0.03	0.00	-44.50	21.00	1.50	9.84	-0.26	0.58	9.78	-0.23	0.58	
4088771 5.58	34.94	86.31	1.31	0.00	-0.00	-0.00	0.04	-0.01	0.00	-44.06	20.56	0.69	9.82	-0.25	0.58	9.78	-0.23	0.58	
4088849 5.57	34.94	86.31	1.31	-0.00	0.00	0.00	0.03	0.00	0.00	-44.06	20.56	1.06	9.82	-0.24	0.57	9.78	-0.23	0.58	
4088928 5.54	34.94	86.31	1.31	-0.00	0.00	0.00	0.04	0.02	0.00	-43.75	20.56	1.50	9.81	-0.23	0.60	9.78	-0.23	0.58	
4089008 5.55	34.94	86.31	1.31	0.00	-0.00	0.00	0.03	-0.01	0.02	-44.88	20.56	2.38	9.81	-0.24	0.54	9.78	-0.23	0.58	
4089088 5.57	34.94	86.31	1.31	-0.01	-0.00	0.00	0.03	0.01	0.00	-44.88	20.19	1.06	9.82	-0.21	0.58	9.78	-0.23	0.58	
4089166 5.63	34.94	86.31	1.31	-0.01	0.00	0.00	0.06	0.00	0.00	-44.50	20.19	1.06	9.84	-0.24	0.58	9.78	-0.23	0.58	
4089246 5.61	34.94	86.31	1.31	0.01	-0.00	-0.00	0.05	0.04	-0.04	-44.88	20.56	1.50	9.83	-0.18	0.53	9.78	-0.23	0.58	
4089324 5.60	34.94	86.31	1.31	-0.00	0.00	-0.00	0.04	0.00	0.00	-44.06	20.19	1.50	9.82	-0.23	0.58	9.78	-0.23	0.58	
4089402 5.57	34.94	86.31	1.31	-0.01	0.00	0.00	0.04	-0.03	0.00	-44.06	20.19	1.50	9.83	-0.27	0.58	9.78	-0.23	0.58	
4089480 5.54	34.94	86.31	1.31	0.00	0.00	0.00	0.04	0.01	0.03	-45.88	21.00	0.69	9.82	-0.22	0.62	9.78	-0.23	0.58	
4089560 5.59	34.94	86.31	1.31	0.01	-0.00	-0.00	0.03	0.00	0.00	-45.56	20.19	1.50	9.83	-0.21	0.58	9.78	-0.23	0.58	
4089640 5.54	34.94	86.31	1.31	-0.01	-0.00	0.00	0.04	-0.03	-0.04	-45.19	20.19	1.06	9.83	-0.26	0.53	9.78	-0.23	0.58	
4089717 5.60	34.94	86.31	1.31	-0.01	-0.00	0.00	0.05	0.00	-0.02	-44.88	21.25	1.88	9.83	-0.22	0.55	9.78	-0.23	0.58	
4089796 5.66	34.94	86.31	1.31	0.01	0.00	0.00	0.04	0.01	0.00	-44.50	19.75	1.88	9.83	-0.21	0.58	9.78	-0.23	0.58	
4089873 5.72	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.00	0.00	-44.88	20.56	0.25	9.82	-0.23	0.58	9.78	-0.23	0.58	
4089952 5.80	34.94	86.31	1.31	-0.01	-0.00	0.00	0.03	0.00	0.00	-44.50	20.56	2.38	9.81	-0.22	0.58	9.78	-0.23	0.58	
4090031 5.80	34.94	86.31	1.31	0.00	0.00	0.00	0.04	0.01	-0.02	-44.88	20.56	2.38	9.82	-0.21	0.60	9.78	-0.23	0.58	
4090111 5.74	34.94	86.31	1.31	-0.01	-0.00	0.00	0.04	-0.06	-0.02	-44.50	20.19	1.06	9.84	-0.27	0.54	9.78	-0.23	0.58	
4090191 5.69	34.94	86.31	1.31	0.00	0.00	-0.00	0.05	-0.01	0.00	-44.06	21.00	2.38	9.84	-0.25	0.57	9.78	-0.23	0.58	
4090268 5.62	34.94	86.31	1.31	0.01	0.00	-0.00	0.04	0.01	0.00	-44.88	21.25	0.69	9.82	-0.21	0.57	9.78	-0.23	0.58	
4090346 5.67	34.94	86.31	1.31	-0.01	0.00	0.00	0.04	-0.01	0.00	-44.88	20.19	0.25	9.82	-0.24	0.57	9.78	-0.23	0.58	
4090423 5.64	34.94	86.31	1.31	-0.00	0.00	0.00	0.04	0.03	0.03	-44.88	20.56	1.06	9.82	-0.20	0.61	9.78	-0.23	0.58	
4090502 5.70	34.94	86.31	1.31	0.01	-0.00	0.00	0.04	0.03	0.02	-44.06	21.00	0.25	9.81	-0.18	0.59	9.78	-0.23	0.58	
4090582 5.65	34.94	86.31	1.31	-0.01	-0.00	0.00	0.06	-0.04	-0.02	-43.75	20.56	1.06	9.83	-0.25	0.53	9.78	-0.23	0.58	
4090662 5.66	34.94	86.31	1.31	-0.00	-0.00	0.00	0.06	-0.04	-0.02	-45.25	19.75	1.88	9.82	-0.29	0.56	9.78	-0.23	0.58	
4090742 5.74	34.94	86.31	1.31	0.00	0.00	0.00	0.02	-0.01	0.03	-44.50	20.56	0.69	9.81	-0.25	0.61	9.78	-0.23	0.58	
4090818 5.79	34.94	86.31	1.31	0.00	0.00	-0.01	0.03	0.00	0.00	-43.75	21.25	0.25	9.82	-0.24	0.57	9.78	-0.23	0.58	
4090896 5.77	34.94	86.31	1.31	-0.00	-0.00	-0.00	0.03	0.00	-0.03	-44.06	21.25	1.06	9.82	-0.23	0.54	9.78	-0.23	0.58	
4090974 5.79	34.94	86.31	1.31	-0.00	-0.00	0.00	0.02	0.00	0.00	-43.75	20.56	1.88	9.83	-0.24	0.56	9.78	-0.23	0.58	
4091053 5.81	34.94	86.31	1.31	-0.00	0.00	0.00	0.03	-0.01	0.01	-45.19	21.00	0.69	9.82	-0.21	0.57	9.78	-0.23	0.58	
4091133 5.78	34.94	86.31	1.31	0.00	-0.00	0.00	0.07	-0.01	0.00	-45.19	21.00	2.38	9.82	-0.29	0.58	9.78	-0.23	0.58	
4091213 5.77	34.94	86.31	1.31	-0.01	-0.00	0.00	0.05	0.01	0.00	-44.50	21.00	1.50	9.83	-0.22	0.54	9.78	-0.23	0.58	
4091293 5.82	34.94	86.31	1.31	0.01	0.00	-0.00	0.05	0.02	0.00	-44.88	20.56	1.50	9.83	-0.20	0.57	9.78	-0.23	0.58	
4091370 5.86	34.94	86.31	1.31	-0.01	-0.00	0.00	0.05	-0.05	-0.03	-44.06	21.00	0.69	9.84	-0.28	0.54	9.78	-0.23	0.58	
4091449 5.90	34.94	86.31	1.31	-0.00	-0.00	0.00	0.03	-0.03	0.01	-44.50	21.00	0.69	9.82	-0.26	0.59	9.78	-0.23	0.58	
4091527 5.85	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.00	0.01	-45.56	21.25	1.06	9.81	-0.22	0.59	9.78	-0.23	0.58	
4091605 5.86	34.94	86.31	1.31	0.01	0.00	0.00	0.07	0.02	-0.02	-44.88	21.00	1.50	9.83	-0.24	0.58	9.78	-0.23	0.58	
4091685 5.90	34.94	86.31	1.31	-0.00	-0.00	0.00	0.05	0.00	-0.05	-45.25	20.56	0.69	9.83	-0.25	0.55	9.78	-0.23	0.58	
4091765 5.90	34.94	86.31	1.31	-0.00	-0.00	0.00	0.04	-0.02	0.00	-44.88	20.56	1.50	9.83	-0.22	0.53	9.78	-0.23	0.58	
4091845 5.84	34.94	86.31	1.31	0.00	0.00	0.00	0.05	0.01	0.03	-44.50	21.00	1.06	9.84	-0.21	0.61	9.78	-0.23	0.58	
4091922 5.78	34.94	86.31	1.31	-0.01	0.00	0.00	0.03	-0.06	-0.01	-44.50	20.56	1.50	9.82	-0.29	0.56	9.78	-0.23	0.58	
4092000 5.78	34.94	86.31	1.31	0.00	0.00	0.00	0.04	0.03	0.00	-44.88	21.00	1.88	9.83	-0.20	0.57	9.78	-0.23	0.58	
4092078 5.76	34.94	86.31	1.31	0.00	0.00	-0.00	0.05	0.00	-0.01	-44.06	20.56	2.25	9.83	-0.24	0.56	9.78	-0.23	0.58	
4092156 5.78	34.94	86.31	1.31	-0.01	-0.00	0.00	0.05	-0.06	-0.02	-44.50	20.19	1.50	9.84	-0.30	0.52	9.78	-0.23	0.58	
4092236 5.76	34.94	86.31	1.31	0.01	-0.00	0.00	0.06	0.10	0.06	-44.50	20.19	0.25	9.82	-0.18	0.61	9.78	-0.23	0.58	
4092316 5.76	34.94	86.31	1.31	-0.00	0.00	-0.00	0.03	-0.02	0.00	-44.50	21.25	2.25	9.82	-0.25	0.57	9.78	-0.23	0.58	
4092396 5.76	34.94	86.31	1.31	-0.01	0.00	0.00	0.05	-0.07	0.02	-44.88	20.19	2.25	9.84	-0.31	0.60	9.78	-0.23	0.58	
4092474 5.71	34.94	86.31	1.31	-0.00	0.00	0.00	0.03	-0.01	-0.01	-44.50	20.56	1.50	9.81	-0.24	0.56	9.78	-0.23	0.58	
4092553 5.68	34.94	86.31	1.31	0.01	-0.00	-0.00	0.05	-0.02	-0.03	-45.19	21.25	0.69	9.83	-0.25	0.54	9.78	-0.23	0.58	
4092631 5.72	34.94	86.31	1.31	0.01	0.00	0.00	0.04	0.04	-0.02	-44.50	21.00	0.69	9.82	-0.18	0.55	9.78	-0.23	0.58	
4092709 5.81	34.94	86.31	1.31	0.01	0.00	0.00	0.03	-0.01	0.00	-44.88	21.25	2.38	9.82	-0.24	0.58	9.78	-0.23	0.58	
4092788 5.84	34.94	86.31	1.31	-0.00	-0.00	0.00	0.04	0.02	0.00	-44.88	20.56	1.06	9.84	-0.22	0.59	9.78	-0.23	0.58	
4092867 5.85	34.94	86.31	1.31	-0.00	0.00	0.00	0.03	-0.04	-0.05	-43.75	20.19	2.38	9.82	-0.25	0.57	9.78	-0.23	0.58	
4092947 5.83	34.94	86.31	1.31	-0.00	0.00	-0.00	0.06	-0.01	-0.01	-44.50	21.00	1.50	9.85	-0.24	0.56	9.78	-0.23	0.58	
4093025 5.80	34.94	86.31	1.31	0.01	-0.00	0.00	0.04	0.02	0.01	-45.19	20.19	1.88	9.83	-0.21	0.59	9.78	-0.23	0.58	
4093105 5.80	34.94	86.31	1.31	-0.00	-0.00	-0.00	0.04	-0.02	0.01	-44.88	20.56	1.88	9.82	-0.26	0.59	9.78	-0.23	0.58	
4093183 5.79	34.94	86.31	1.31	0.00	-0.00	-0.00	0.03	0.07	-0.01	-44.06	20.56	1.50	9.82	-0.15	0.56	9.78	-0.23	0.58	
4093261 5.79	34.94	86.31	1.31	0.01	-0.00	0.00	0.03	0.02	-0.02	-44.88	20.56	1.06	9.81	-0.21	0.55	9.78	-0.23	0.58	
4093339 5.78	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.06	0.00	-44.88	21.00	1.50	9.83	-0.24	0.62	9.78	-0.23	0.58	
4093419 5.75	34.94	86.31	1.31	-0.00	0.00	0.00	0.02	-0.01	0.00	-45.19	20.19	1.50	9.82	-0.29	0.56	9.78	-0.23	0.58	
4093499 5.74	34.94	86.31	1.31	-0.01	0.00	-0.00	0.02	-0.06	0.01	-44.50	20.19	1.50	9.81	-0.29	0.59	9.78	-0.23	0.58	
4093577 5.86	34.94	86.31	1.31	0.02	0.00	-0.00	0.03	0.06	0.00	-44.50	20.56	0.69	9.82	-0.17	0.57	9.78	-0.23	0.58	
4093656 5.83	34.94	86.31	1.31	0.00	0.00	0.00	0.04	-0.01	-0.01	-44.50	20.19	1.50	9.82	-0.25	0.56	9.78	-0.23	0.58	
4093736 5.89	34.94	86.31	1.31	-0.01	0.00	0.00	0.06	0.00	-0.01	-44.88	21.00	1.50	9.84	-0.24	0.56	9.78	-0.23	0.58	
4093814 5.91	34.94	86.31	1.31	0.01	0.00	-0.00	0.04	0.00	0.00	-43.75	21.00	3.19	9.82	-0.22	0.58	9.78	-0.23	0.58	
4093892 5.94	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.01	0.01	-44.88	21.00	1.50	9.81	-0.21	0.59	9.78	-0.23	0.58	
4093971 5.90	34.94	86.31	1.31	-0.00	-0.00	0.00	0.02	0.01	0.01	-44.88	20.19	2.38	9.85	-0.21	0.58	9.78	-0.23	0.58	
4094050 5.91	34.94	86.31	1.31	-0.01	-0.00	0.00	0.05	-0.05	-0.02	-44.88	20.56	1.06	9.84	-0.29	0.55	9.78	-0.23	0.58	
4094128 5.92	34.94	86.31	1.31	-0.00	0.00	-0.00	0.04	-0.01	-0.01	-44.50	21.00	1.88	9.82	-0.25	0.56	9.78	-0.23	0.58	
4094208 5.93	34.94	86.31	1.31	0.01	0.00	-0.00	0.05	-0.04	-0.02	-44.88	20.19	1.50	9.83	-0.28	0.55	9.78	-0.23	0.58	
4094287 5.88	34.94	86.31	1.31	0.01	0.00	-0.00	0.01	0.00	0.01	-44.88	21.00	1.50	9.79	-0.23	0.59	9.78	-0.23	0.58	
4094366 5.85	34.94	86.31	1.31	0.00	-0.00	-0.00	0.05	0.04	0.04	-45.56	20.56	1.88	9.83	-0.19	0.62	9.78	-0.23	0.58	
4094444 5.91	34.94	86.31	1.31	-0.00	-0.00	0.00	0.05	0.00	0.02	-45.25	20.56	1.50	9.84	-0.23	0.60	9.78	-0.23	0.58	
4094522 5.92	34.94	86.31	1.31	-0.01	-0.00	0.01	0.04	0.00	-0.01	-44.88	20.56	1.88	9.83	-0.24	0.54	9.78	-0.23	0.58	
4094601 5.88	34.94	86.31	1.38	-0.01	0.00	0.00	0.06	-0.07	-0.05	-43.75	20.19	1.06	9.85	-0.30	0.52	9.78	-0.23	0.58	
4094679 5.91	35.00	86.31	1.38	-0.01	0.00	0.00	0.04	-0.04	-0.01	-44.06	21.00	2.75	9.82	-0.27	0.56	9.78	-0.23	0.58	
4094759 5.88	34.94	86.31	1.31	0.02	0.01	-0.01	0.04	0.03	0.03	-44.06	20.19	1.50	9.83	-0.20	0.61	9.78	-0.23	0.58	
4094837 5.82	34.94	86.31	1.31	0.00	0.00	-0.00	0.02	-0.09	0.01	-45.25	20.19	0.69	9.80	-0.33	0.59	9.78	-0.23	0.58	
4094915 5.82	34.94	86.31	1.31	0.00	0.00	0.00	0.03	0.00	0.01	-45.25	20.56	1.06	9.82	-0.22	0.59	9.78	-0.23	0.58	
4094993 5.93	34.94	86.31	1.31	0.00	-0.00	0.00	0.03	0.07	0.01	-45.25	21.69	1.06	9.82	-0.20	0.57	9.78	-0.23	0.58	
4095073 6.00	34.94	86.31	1.31	-0.02	-0.00	0.01	0.04	-0.05	0.00	-43.75	20.56	1.06	9.84	-0.31	0.51	9.78	-0.23	0.58	
4095152 6.03	35.00	86.31	1.38	-0.02	0.00	0.00	0.02	-0.03	-0.01	-44.50	21.00	1.06	9.81	-0.26	0.56	9.78	-0.23	0.58	
4095229 6.03	35.19	86.31	1.38	-0.05	-0.00	-0.00	0.03	-0.12	0.01	-44.50	20.56	2.38	9.81	-0.35	0.59	9.78	-0.23	0.57	
4095307 6.00	35.19	86.31	1.38	-0.02	0.00	-0.00	0.04	-0.01	0.03	-44.50	20.56	1.50	9.83	-0.24	0.61	9.78	-0.23	0.57	
4095384 6.05	35.12	86.31	1.38	0.01	0.00	-0.00	0.05	0.00	0.00	-45.25	21.25	1.50	9.82	-0.17	0.62	9.78	-0.23	0.57	
4095463 6.06	35.06	86.31	1.38	-0.00	-0.00	-0.00	0.04	0.01	0.01	-45.19	21.00	2.38	9.81	-0.18	0.54	9.78	-0.23	0.57	
4095543 6.06	35.06	86.31	1.38	-0.02	-0.00	0.00	0.05	-0.02	0.00	-44.88	20.56	1.88	9.83	-0.23	0.54	9.78	-0.23	0.57	
4095624 6.01	35.06	86.31	1.38	-0.02	-0.00	0.00	0.04	-0.07	0.01	-44.88	21.00	1.06	9.85	-0.26	0.57	9.78	-0.23	0.57	
4095753 5.87	35.19	86.31	1.38	0.02	0.00	0.00	0.04	-0.03	-0.01	-44.06	20.56	1.06	9.82	-0.27	0.56	9.78	-0.23	0.57	
4095830 5.82	35.19	86.31	1.38	0.01	0.00	-0.00	0.04	-0.01	0.02	-44.50	20.56	1.06	9.82	-0.25	0.60	9.78	-0.23	0.57	
4095908 5.80	35.12	86.31	1.38	0.02	0.00	-0.00	0.06	0.02	0.04	-44.06	21.00	1.50	9.84	-0.21	0.62	9.78	-0.23	0.57	
4095986 5.77	35.06	86.31	1.38	0.01	-0.00	-0.00	0.04	0.04	-0.03	-44.50	21.00	2.38	9.80	-0.19	0.57	9.78	-0.23	0.57	
4096065 5.81	35.06	86.31	1.38	-0.00	0.00	0.00	0.04	0.01	-0.02	-44.50	21.00	1.50	9.84	-0.23	0.59	9.78	-0.23	0.57	
4096145 5.82	35.06	86.31	1.38	-0.01	-0.00	0.00	0.03	0.00	-0.03	-44.50	20.19	1.06	9.82	-0.22	0.56	9.78	-0.23	0.57	
4096225 5.83	35.19	86.31	1.38	-0.02	0.00	0.00	0.03	-0.10	0.02	-43.75	21.00	1.50	9.84	-0.34	0.53	9.78	-0.23	0.57	
4096305 5.86	35.12	86.31	1.38	0.00	0.00	-0.00	0.05	-0.04	0.00	-44.06	21.00	2.75	9.83	-0.28	0.58	9.78	-0.23	0.57	
4096383 5.84	35.12	86.31	1.38	0.02	0.00	-0.00	0.04	-0.01	-0.02	-44.50	20.56	1.88	9.83	-0.25	0.55	9.78	-0.23	0.57	
4096463 5.89	35.06	86.31	1.38	0.03	-0.00	-0.00	0.04	0.06	-0.01	-43.38	20.56	1.50	9.82	-0.16	0.56	9.78	-0.23	0.57	
4096540 5.89	35.00	86.31	1.38	0.01	0.00	0.00	0.02	0.03	0.01	-44.50	20.19	0.69	9.81	-0.20	0.59	9.78	-0.23	0.57	
4096618 5.87	35.06	86.31	1.38	-0.01	0.00	0.00	0.04	0.02	-0.05	-44.06	21.25	1.88	9.82	-0.21	0.52	9.78	-0.23	0.57	
4096697 5.91	35.12	86.31	1.38	-0.01	-0.00	0.01	0.03	-0.07	0.04	-44.88	20.19	0.25	9.83	-0.29	0.55	9.78	-0.23	0.57	
4096777 5.96	35.12	86.31	1.38	0.00	0.00	-0.00	0.05	0.05	-0.09	-44.06	20.19	3.19	9.81	-0.22	0.51	9.78	-0.23	0.57	
4096856 6.00	35.12	86.31	1.38	0.01	0.00	-0.01	0.04	-0.02	-0.08	-44.88	21.00	1.50	9.83	-0.25	0.49	9.78	-0.23	0.57	
4096934 6.02	35.12	86.31	1.38	-0.01	0.00	0.00	0.06	-0.09	-0.01	-44.88	21.00	1.50	9.84	-0.33	0.56	9.78	-0.23	0.57	
4097014 6.01	35.06	86.31	1.38	0.01	0.00	0.00	0.02	0.01	0.07	-44.50	21.25	2.38	9.81	-0.22	0.65	9.78	-0.23	0.57	
4097094 6.08	35.06	86.31	1.38	-0.01	0.00	0.00	0.04	0.01	0.00	-44.06	20.19	1.50	9.82	-0.21	0.57	9.78	-0.23	0.57	
4097174 6.04	35.06	86.31	1.38	-0.01	-0.00	0.00	0.04	0.00	0.01	-44.50	20.56	1.88	9.82	-0.23	0.59	9.78	-0.23	0.57	
4097252 6.04	35.12	86.31	1.38	0.00	-0.00	0.00	0.04	-0.02	-0.01	-44.88	20.56	1.88	9.83	-0.26	0.56	9.78	-0.23	0.57	
4097330 6.05	35.12	86.31	1.38	0.01	-0.00	-0.00	0.03	0.00	-0.04	-44.88	19.75	1.50	9.82	-0.23	0.53	9.78	-0.23	0.57	
4097408 6.07	35.12	86.31	1.38	0.00	0.00	-0.00	0.06	-0.04	0.04	-44.50	20.56	1.88	9.81	-0.31	0.60	9.78	-0.23	0.57	
4097487 6.09	35.12	86.31	1.38	-0.01	0.00	-0.00	0.05	-0.01	-0.05	-45.19	20.56	1.50	9.84	-0.21	0.64	9.78	-0.23	0.57	
4097567 6.10	35.12	86.31	1.38	0.01	0.00	0.00	0.03	0.00	-0.01	-44.88	20.56	0.69	9.82	-0.20	0.58	9.78	-0.23	0.57	
4097647 6.10	35.12	86.31	1.38	-0.00	-0.00	0.00	0.03	0.00	-0.02	-44.88	20.56	1.88	9.83	-0.25	0.59	9.78	-0.23	0.57	
4097727 6.11	35.12	86.31	1.38	-0.01	-0.00	0.00	0.04	0.00	0.00	-44.50	19.75	1.88	9.84	-0.21	0.51	9.78	-0.23	0.57	
4097807 6.17	35.12	86.31	1.38	-0.00	0.00	0.00	0.04	-0.05	0.05	-44.50	21.00	0.69	9.83	-0.28	0.63	9.78	-0.23	0.57	
4097885 6.13	35.12	86.31	1.38	-0.01	0.00	0.00	0.05	-0.02	0.02	-43.75	21.00	1.88	9.83	-0.25	0.60	9.78	-0.23	0.57	
4097965 6.14	35.12	86.31	1.38	0.01	-0.00	-0.00	0.03	-0.05	0.02	-44.50	21.00	1.88	9.82	-0.28	0.60	9.78	-0.23	0.57	
4098043 6.16	35.12	86.31	1.38	-0.00	-0.01	-0.00	0.04	0.00	-0.06	-44.06	20.56	0.69	9.82	-0.22	0.51	9.78	-0.23	0.57	
4098121 6.17	35.12	86.31	1.38	0.01	-0.00	-0.00	0.05	-0.02	0.04	-44.88	20.19	1.88	9.81	-0.16	0.55	9.78	-0.23	0.57	
4098200 6.22	35.12	86.31	1.38	0.01	0.00	0.00	0.05	-0.04	0.06	-45.19	21.00	1.50	9.81	-0.25	0.60	9.78	-0.23	0.57	
4098280 6.18	35.12	86.31	1.38	0.00	0.00	0.00	0.05	0.04	-0.01	-44.50	21.00	1.88	9.83	-0.24	0.59	9.78	-0.23	0.57	
4098360 6.14	35.12	86.31	1.38	-0.01	-0.00	0.00	0.05	-0.01	-0.06	-44.88	20.19	0.69	9.84	-0.24	0.51	9.78	-0.23	0.57	
4098438 6.11	35.12	86.31	1.38	-0.01	-0.00	0.00	0.03	-0.07	-0.04	-44.50	20.56	0.69	9.82	-0.31	0.53	9.78	-0.23	0.57	
4098518 6.14	35.12	86.31	1.38	0.00	0.00	-0.00	0.04	-0.07	0.08	-45.56	19.75	1.88	9.82	-0.31	0.66	9.78	-0.23	0.57	
4098598 6.21	35.12	86.31	1.38	0.00	0.00	0.00	0.00	-0.07	0.12	-44.06	20.56	0.25	9.79	-0.31	0.70	9.78	-0.23	0.57	
4098677 6.24	35.12	86.31	1.38	0.00	0.00	0.00	0.01	-0.01	0.03	-44.88	20.56	1.06	9.80	-0.25	0.61	9.78	-0.23	0.57	
4098756 6.29	35.12	86.31	1.38	0.01	0.00	0.00	0.05	0.00	0.04	-44.50	20.19	0.69	9.83	-0.22	0.62	9.78	-0.23	0.57	
4098833 6.39	35.12	86.31	1.38	-0.02	-0.01	0.00	0.02	-0.04	-0.03	-44.06	19.75	1.88	9.80	-0.27	0.54	9.78	-0.23	0.57	
4098912 6.27	35.12	86.31	1.38	-0.01	0.00	0.00	0.02	-0.04	0.03	-44.50	20.56	1.88	9.84	-0.25	0.56	9.78	-0.23	0.57	
4098990 6.28	35.19	86.31	1.38	0.01	0.00	0.00	0.02	-0.06	0.04	-44.50	20.56	1.50	9.83	-0.30	0.55	9.78	-0.23	0.57	
4099070 6.27	35.19	86.31	1.38	0.00	0.00	-0.00	0.03	-0.02	0.02	-44.50	20.56	1.50	9.82	-0.35	0.62	9.78	-0.23	0.57	
