TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
332364 -2.51	230.19	-27.56	-21.69	0.08	-0.15	0.12	0.43	-1.01	0.25	30.06	-23.25	-13.19	-4.07	2.77	8.85	-4.52	3.23	8.07	
1167850 -2.55	297.81	85.88	-178.56	0.01	-0.04	-0.02	0.03	0.13	0.07	-44.56	10.38	-24.19	9.83	0.47	-0.54	9.78	0.23	-0.66	
1167930 -2.67	298.00	85.75	-178.69	0.00	-0.00	0.05	-0.06	0.29	0.12	-44.19	10.75	-23.69	9.71	0.52	-0.55	9.78	0.22	-0.68	
1168007 -2.80	298.00	85.75	-178.88	0.01	-0.03	0.04	-0.08	-0.60	-0.30	-45.25	11.50	-24.56	9.69	-0.41	-1.01	9.77	0.18	-0.70	
1168085 -2.81	297.88	85.69	-178.81	0.02	0.01	-0.10	0.02	-0.58	-0.33	-44.88	11.50	-24.19	9.72	0.12	-1.04	9.77	0.21	-0.70	
1168161 -2.77	298.44	85.56	-178.25	-0.13	-0.02	-0.13	-0.17	0.54	0.83	-43.75	11.50	-25.00	9.75	0.87	0.10	9.77	0.30	-0.69	
1168241 -2.77	298.81	85.31	-177.81	0.05	0.04	-0.06	-0.11	0.00	0.64	-44.56	10.75	-23.69	9.62	0.38	-0.12	9.77	0.36	-0.70	
1168322 -2.82	299.00	85.25	-177.69	0.02	0.00	-0.01	-0.10	0.31	-0.06	-43.75	10.75	-25.75	9.67	0.70	-0.77	9.77	0.39	-0.70	
1168398 -2.77	299.06	85.25	-177.62	-0.00	0.02	0.01	-0.06	-0.09	-0.20	-44.19	11.19	-25.38	9.71	0.30	-0.90	9.77	0.39	-0.70	
1168475 -2.79	299.06	85.31	-177.62	-0.00	0.03	0.01	-0.07	-0.06	0.19	-43.75	11.19	-25.88	9.69	0.32	-0.49	9.77	0.39	-0.68	
1168552 -2.85	299.06	85.38	-177.62	-0.01	-0.01	0.00	-0.07	0.07	0.00	-44.19	11.19	-25.00	9.68	0.48	-0.85	9.77	0.39	-0.67	
1168632 -2.81	299.06	85.44	-177.62	-0.01	-0.01	0.00	-0.07	0.00	0.20	-44.19	11.50	-25.00	9.70	0.40	-0.46	9.77	0.39	-0.67	
1168712 -2.80	299.06	85.38	-177.62	0.00	0.01	0.01	-0.06	0.07	-0.14	-44.56	11.19	-24.56	9.70	0.46	-0.82	9.77	0.39	-0.67	
1168791 -2.77	299.06	85.31	-177.62	0.00	-0.02	-0.02	-0.06	-0.23	0.29	-44.19	10.75	-23.38	9.71	0.16	-0.39	9.77	0.39	-0.68	
1168871 -2.86	299.19	85.19	-177.50	-0.00	-0.04	-0.04	-0.07	0.00	-0.17	-43.75	11.19	-24.56	9.70	0.41	-0.88	9.77	0.41	-0.70	
